cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
2414,2558.5,cc_longest,167.28,1.0712,2.7637,7.43,171.7,135,"343,199;248,276"
2207,2274.53,cc_longest,171.55,1.0677,3.2205,5.057,167.9,122,"331,445;222,449"
3504,1476.52,cc_longest,163.97,1.09,3.1294,6.097,177.5,83,"402,76;373,139"
1780,1221.8,polyline,,,2.6849,,,70,
2362,1097.34,polyline,,,2.479,,,46,
3205,1086.47,polyline,,,1.661,,,50,
2457,1061.63,cc_longest,165.16,1.1791,1.8228,3.804,157.1,63,"283,140;253,105"
2190,1016.44,polyline,,,2.6297,,,46,
2175,1003.03,cc_longest,163.81,1.0694,2.3904,3.566,173.0,49,"244,56;219,97"
8,928.26,polyline,,,2.4066,,,39,
4127,891.16,cc_longest,151.24,1.1638,1.4863,3.23,136.5,49,"447,54;443,93"
2019,852.67,polyline,,,1.9527,,,44,
1848,825.86,cc_longest,137.11,1.3112,2.0569,8.689,121.6,43,"211,323;183,339"
900,821.7,polyline,,,1.6079,,,41,
1312,806.33,cc_longest,170.54,1.1517,1.686,3.187,178.0,36,"145,157;131,124"
2012,777.32,cc_longest,136.44,1.1566,1.6472,2.47,132.0,37,"228,242;200,222"
3949,773.97,polyline,,,2.3106,,,34,
2918,763.11,polyline,,,1.8301,,,38,
2392,759.76,polyline,,,1.8687,,,37,
4077,754.44,polyline,,,1.815,,,43,
3828,748.31,polyline,,,1.5529,,,36,
1234,743.0,polyline,,,2.4729,,,38,
1424,730.17,cc_longest,156.63,1.1287,1.465,2.871,143.1,35,"159,30;143,59"
3139,728.78,cc_longest,141.11,1.1741,1.8474,3.88,140.1,41,"366,307;335,314"
1465,710.64,polyline,,,2.265,,,32,
780,707.29,polyline,,,1.5482,,,49,
3057,707.29,cc_longest,151.84,1.1378,1.8254,4.037,171.2,36,"349,406;327,429"
3782,655.4,polyline,,,1.3207,,,30,
222,650.66,polyline,,,1.6267,,,32,
4539,614.37,cc_longest,180.0,1.3107,1.9776,4.013,109.7,27,"511,510;487,510"
490,603.51,polyline,,,2.1885,,,29,
3787,595.42,polyline,,,2.7907,,,37,
4428,573.92,cc_longest,153.43,1.0913,2.121,4.599,148.2,29,"490,90;476,67"
439,572.53,polyline,,,1.6501,,,0,
2056,571.15,polyline,,,1.5841,,,29,
3,553.0,polyline,,,2.1926,,,33,
1090,540.17,polyline,,,2.1861,,,27,
1533,538.21,cc_longest,165.75,1.2793,1.5804,2.833,161.8,27,"162,134;154,154"
1823,534.86,polyline,,,1.6514,,,32,
27,525.38,polyline,,,1.9227,,,25,
1157,520.64,cc_longest,163.91,1.0529,1.2526,1.837,157.8,33,"114,136;118,161"
3322,503.89,polyline,,,1.8668,,,21,
4073,497.76,polyline,,,1.8353,,,29,
62,495.8,cc_longest,180.0,1.3911,4.1973,9.334,117.5,32,"25,119;7,116"
3770,492.45,polyline,,,1.9285,,,20,
2655,487.71,cc_longest,180.0,1.1036,1.6225,4.274,157.9,23,"294,274;278,290"
1895,487.71,polyline,,,2.1064,,,0,
4656,482.97,polyline,,,1.7078,,,0,
3428,470.14,polyline,,,1.509,,,23,
4314,453.96,polyline,,,1.4187,,,25,
4319,450.61,polyline,,,1.377,,,22,
3820,448.64,cc_longest,180.0,1.2174,1.5835,3.545,140.0,20,"423,145;407,155"
131,447.26,polyline,,,1.0654,,,0,
4286,445.87,cc_longest,174.29,1.0334,2.028,3.177,166.6,24,"485,121;463,123"
2922,443.9,cc_longest,180.0,1.1538,1.8892,4.403,153.6,35,"326,420;308,428"
786,442.52,polyline,,,1.3812,,,0,
1069,442.52,polyline,,,1.8019,,,30,
2336,442.52,polyline,,,1.1087,,,24,
3906,435.81,cc_longest,180.0,1.1944,1.7312,4.93,130.9,21,"435,502;417,497"
1710,434.43,polyline,,,1.5057,,,0,
1351,427.72,polyline,,,1.8533,,,20,
71,411.54,polyline,,,3.6578,,,43,
2665,404.84,polyline,,,1.7662,,,0,
3450,398.14,polyline,,,1.826,,,16,
3238,396.75,polyline,,,1.1792,,,18,
4019,369.13,polyline,,,0.9962,,,17,
1505,369.13,cc_longest,180.0,1.1789,1.5864,3.317,131.8,22,"157,368;158,384"
2748,365.78,polyline,,,2.4833,,,16,
4583,362.43,polyline,,,1.9852,,,15,
1394,361.04,polyline,,,0.9194,,,17,
4441,354.34,polyline,,,1.6999,,,20,
2575,352.95,polyline,,,1.9913,,,17,
733,352.95,polyline,,,1.1279,,,17,
3592,352.95,polyline,,,1.2015,,,17,
2112,348.21,polyline,,,1.6479,,,18,
4231,341.51,polyline,,,5.6017,,,0,
3803,334.81,polyline,,,1.089,,,14,
671,330.07,polyline,,,2.4354,,,18,
927,321.98,polyline,,,1.312,,,20,
2749,321.98,polyline,,,1.4267,,,15,
3464,320.59,polyline,,,1.1568,,,17,
3833,315.28,polyline,,,1.3806,,,13,
2246,313.89,polyline,,,1.273,,,15,
1482,313.89,polyline,,,1.3841,,,15,
2506,310.54,polyline,,,1.3707,,,18,
4160,309.15,polyline,,,1.4778,,,16,
2405,297.71,polyline,,,1.8781,,,15,
2316,294.36,polyline,,,1.1543,,,14,
376,294.36,polyline,,,1.2342,,,14,
795,287.65,cc_longest,180.0,1.0363,2.2667,9.882,167.6,18,"86,366;75,375"
1379,286.27,polyline,,,1.5708,,,14,
1389,286.27,polyline,,,1.9052,,,14,
1292,286.27,polyline,,,1.1576,,,14,
2129,286.27,polyline,,,1.9889,,,14,
3363,282.92,polyline,,,2.929,,,13,
2963,282.92,polyline,,,1.2801,,,13,
2718,281.53,polyline,,,1.6492,,,15,
4164,281.53,polyline,,,1.5708,,,15,
3810,281.53,polyline,,,1.5583,,,15,
2313,279.56,polyline,,,2.1215,,,12,
2577,279.56,polyline,,,1.4531,,,12,
2599,279.56,polyline,,,1.8975,,,12,
278,278.18,polyline,,,1.5445,,,14,
968,274.83,cc_longest,180.0,1.0824,1.5254,3.14,178.4,15,"99,36;94,24"
1514,271.47,polyline,,,1.573,,,12,
4498,270.09,polyline,,,1.3972,,,15,
4475,263.38,polyline,,,1.7685,,,12,
1475,258.65,polyline,,,1.463,,,13,
859,258.65,polyline,,,1.6386,,,13,
814,255.29,polyline,,,1.2347,,,12,
3781,255.29,polyline,,,1.7113,,,12,
1784,251.94,polyline,,,1.4998,,,17,
4086,251.94,polyline,,,1.767,,,11,
3364,251.94,polyline,,,1.765,,,11,
805,250.56,polyline,,,1.5138,,,15,
4069,250.56,polyline,,,0.9031,,,13,
18,247.2,polyline,,,1.4021,,,0,
755,247.2,polyline,,,1.5314,,,12,
4381,247.2,polyline,,,1.514,,,12,
2488,247.2,polyline,,,1.458,,,12,
252,247.2,polyline,,,1.1066,,,16,
2452,247.2,polyline,,,1.8983,,,12,
632,247.2,polyline,,,1.2961,,,12,
1025,243.85,polyline,,,1.5655,,,11,
32,243.85,polyline,,,1.8726,,,11,
617,243.85,polyline,,,0.855,,,11,
577,239.11,polyline,,,3.1134,,,15,
1258,239.11,cc_longest,180.0,1.1084,1.6145,2.496,158.6,15,"123,166;122,177"
145,239.11,polyline,,,1.718,,,12,
1066,239.11,polyline,,,1.6454,,,12,
3753,239.11,polyline,,,1.4316,,,13,
856,235.76,polyline,,,2.8896,,,14,
656,232.41,polyline,,,1.4308,,,10,
3669,231.02,polyline,,,1.0517,,,12,
3317,227.67,polyline,,,1.7402,,,11,
791,227.67,polyline,,,0.8839,,,14,
2771,227.67,polyline,,,0.9387,,,11,
3598,227.67,cc_longest,180.0,1.0823,2.0762,2.86,161.6,18,"392,410;382,414"
1599,222.93,polyline,,,1.7868,,,12,
4671,219.58,polyline,,,1.9358,,,11,
1581,216.23,polyline,,,1.322,,,10,
4210,216.23,polyline,,,1.4658,,,10,
4092,216.23,polyline,,,1.4236,,,13,
4096,216.23,polyline,,,1.1681,,,10,
4486,216.23,polyline,,,2.5269,,,10,
3040,216.23,polyline,,,0.8409,,,10,
