cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
5470,1983.76,cc_longest,133.09,1.257,2.1421,4.678,135.4,209,"341,488;293,423"
5727,1915.11,cc_longest,159.18,1.1982,1.6627,4.205,169.2,281,"376,221;307,265"
814,1747.18,cc_longest,156.3,1.1251,2.4771,5.966,173.1,153,"131,133;52,142"
2132,1621.91,cc_longest,122.97,1.2101,2.8562,5.394,100.5,125,"144,216;122,151"
3721,1477.91,cc_longest,136.74,1.1903,1.9835,4.01,172.9,154,"235,195;214,255"
9,1407.88,cc_longest,168.64,1.1803,2.9169,6.673,155.1,113,"41,44;2,91"
3868,1398.4,cc_longest,159.23,1.1163,2.051,6.495,158.8,87,"266,496;211,463"
4275,1380.83,cc_longest,163.3,1.0903,2.7746,5.762,174.2,141,"297,213;235,232"
2457,1248.85,cc_longest,151.09,1.2778,2.1102,3.436,178.1,131,"186,263;136,265"
7431,1232.67,cc_longest,141.68,1.2022,2.5077,7.695,124.0,160,"451,17;401,33"
3249,1217.88,cc_longest,163.92,1.2322,2.3506,5.348,166.6,122,"210,350;179,310"
7608,1174.08,cc_longest,129.47,1.3425,3.0972,6.235,114.0,75,"449,486;408,504"
4104,1161.25,cc_longest,154.85,1.2192,2.2404,5.671,146.1,136,"236,70;223,117"
3878,1122.18,polyline,,,2.1342,,,130,
438,1075.03,cc_longest,139.33,1.2429,1.9804,5.982,133.1,81,"72,459;28,454"
1198,1042.1,cc_longest,146.87,1.2941,1.8734,3.928,116.6,65,"104,215;72,241"
72,1037.36,cc_longest,147.72,1.292,2.0739,4.785,124.2,61,"18,192;5,153"
3398,1031.23,cc_longest,151.93,1.1224,1.6729,3.626,139.5,62,"233,453;186,455"
535,959.23,cc_longest,144.33,1.3377,2.5491,7.114,137.9,95,"53,136;35,104"
880,956.46,cc_longest,157.43,1.2182,2.3135,5.739,179.5,70,"95,478;55,474"
932,889.2,cc_longest,143.75,1.2821,1.7728,4.542,134.2,54,"88,395;58,376"
1526,887.81,cc_longest,177.84,1.1025,1.7313,3.717,175.4,62,"106,199;90,161"
515,853.49,cc_longest,160.95,1.2272,1.9806,4.689,153.3,74,"61,315;33,293"
3442,832.57,polyline,,,1.8829,,,48,
6062,829.22,cc_longest,147.29,1.1327,2.0586,5.029,150.5,81,"354,401;328,374"
4960,827.83,cc_longest,168.69,1.1702,1.8839,4.003,171.7,64,"275,406;271,442"
5399,801.59,cc_longest,167.91,1.2024,1.7303,3.68,171.5,72,"318,181;289,163"
1115,796.86,polyline,,,2.097,,,55,
3205,793.5,cc_longest,161.29,1.2443,2.3387,6.732,160.6,67,"202,193;177,214"
7552,793.5,cc_longest,131.07,1.3308,1.9402,5.027,141.5,67,"432,291;406,275"
7543,790.15,cc_longest,152.1,1.2467,1.7562,5.184,158.5,62,"407,93;425,66"
2632,786.8,cc_longest,150.08,1.1358,2.9594,6.8,152.2,95,"145,510;172,487"
6828,778.71,cc_longest,167.47,1.1783,1.9607,4.633,168.4,51,"390,417;371,389"
6201,773.97,polyline,,,1.8477,,,52,
131,759.18,cc_longest,180.0,1.3332,1.6317,3.42,173.6,63,"34,305;9,320"
2085,749.7,cc_longest,142.13,1.3709,2.0133,5.053,165.3,78,"119,45;119,17"
2971,734.91,cc_longest,173.55,1.1596,1.673,6.955,177.7,64,"192,216;165,234"
52,722.08,cc_longest,135.0,1.3855,3.4203,6.214,139.3,64,"43,507;17,501"
7009,710.64,cc_longest,157.95,1.1731,1.9847,3.621,168.4,42,"405,479;376,468"
1940,705.9,cc_longest,130.82,1.2397,1.5691,3.141,124.7,54,"118,324;121,295"
3221,691.11,cc_longest,174.21,1.1788,1.7159,2.921,165.1,72,"204,47;178,62"
3872,686.37,cc_longest,165.47,1.2543,2.9535,5.247,173.6,38,"235,27;212,11"
7946,683.02,cc_longest,128.7,1.2458,1.9142,4.247,134.3,61,"428,143;430,115"
6264,674.93,cc_longest,177.14,1.1512,2.1993,7.205,164.1,48,"367,378;337,377"
904,671.58,cc_longest,145.74,1.2522,1.7555,3.127,158.6,44,"84,88;57,93"
2410,666.84,cc_longest,155.0,1.116,2.1605,4.23,163.2,48,"147,34;141,64"
2480,663.49,cc_longest,171.96,1.1856,1.7047,3.998,153.9,63,"155,294;141,319"
4116,658.75,polyline,,,1.7833,,,40,
5557,658.75,cc_longest,177.14,1.1236,2.1119,3.776,172.8,58,"327,345;297,344"
5833,632.52,cc_longest,147.83,1.2456,1.8524,4.296,132.2,57,"340,296;314,296"
5330,632.52,cc_longest,137.27,1.2258,1.6018,4.687,142.4,48,"308,335;285,348"
