cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
581,1703.62,cc_longest,162.1,1.1313,2.8119,8.381,133.4,93,"106,30;50,83"
2214,1456.99,polyline,,,2.4478,,,72,
1172,1311.61,polyline,,,1.8294,,,71,
1761,1311.37,polyline,,,1.9753,,,67,
3602,1155.93,polyline,,,2.1109,,,49,
3569,1106.0,polyline,,,1.9267,,,58,
1069,1063.02,cc_longest,167.91,1.0625,2.9865,4.672,175.2,56,"123,220;91,180"
3652,1047.41,cc_longest,141.21,1.2352,2.4439,4.244,116.2,58,"331,180;310,218"
723,1001.65,cc_longest,163.01,1.1341,1.8918,3.579,166.7,66,"104,265;61,251"
5362,1000.26,polyline,,,1.4688,,,46,
4421,954.49,polyline,,,1.5108,,,45,
3531,941.66,cc_longest,139.4,1.1093,1.5857,3.478,167.0,51,"314,377;297,337"
4533,933.57,cc_longest,151.99,1.1368,1.5857,3.194,135.4,44,"399,337;397,379"
428,881.68,cc_longest,136.69,1.2593,2.1596,4.715,105.1,48,"56,19;38,50"
2025,839.27,cc_longest,178.26,1.0783,1.4215,2.307,175.6,44,"186,7;174,45"
1709,811.65,polyline,,,1.4892,,,38,
1851,806.33,polyline,,,1.8088,,,34,
10,800.21,cc_longest,135.71,1.1907,1.9239,2.832,127.6,38,"28,183;0,203"
1004,799.63,polyline,,,2.1462,,,32,
4690,775.94,cc_longest,159.72,1.0931,1.6834,3.021,170.3,38,"443,271;407,266"
5607,754.44,polyline,,,2.1473,,,33,
2637,747.74,polyline,,,2.2286,,,0,
4798,746.35,polyline,,,2.1814,,,33,
3732,735.49,polyline,,,1.4914,,,46,
3378,726.82,polyline,,,1.4158,,,32,
1815,720.12,polyline,,,1.4965,,,30,
3961,696.42,polyline,,,1.3374,,,43,
313,650.66,polyline,,,2.5092,,,31,
3860,596.8,polyline,,,2.4662,,,27,
5591,593.45,cc_longest,165.03,1.3402,4.5458,9.391,132.7,45,"504,316;489,299"
1621,567.22,polyline,,,2.1688,,,23,
1330,548.26,polyline,,,2.0655,,,37,
1051,542.95,polyline,,,2.0513,,,23,
3286,536.82,polyline,,,1.4216,,,51,
3055,534.86,cc_longest,176.5,1.1322,1.7134,4.744,146.8,24,"271,21;259,42"
3673,493.02,polyline,,,1.3459,,,25,
4499,479.62,polyline,,,2.6856,,,27,
5641,478.23,cc_longest,156.61,1.2182,1.58,2.893,156.1,27,"498,92;496,112"
1501,474.88,polyline,,,1.4829,,,28,
297,470.14,polyline,,,1.8078,,,36,
4801,470.14,polyline,,,1.2898,,,23,
3865,458.7,polyline,,,1.642,,,0,
2480,451.99,polyline,,,1.582,,,20,
4518,447.26,polyline,,,1.6105,,,21,
1742,440.55,polyline,,,1.8282,,,19,
5002,439.17,polyline,,,1.3726,,,21,
5347,437.2,polyline,,,1.3507,,,23,
2536,432.46,polyline,,,1.7666,,,19,
3162,432.46,polyline,,,1.2776,,,19,
8,432.46,cc_longest,180.0,1.1735,1.9332,4.71,178.3,29,"16,170;0,180"
4090,431.08,polyline,,,1.4112,,,21,
2900,425.76,cc_longest,180.0,1.0253,2.5678,4.818,180.0,18,"261,215;245,229"
4759,417.67,polyline,,,1.8514,,,0,
1568,416.28,polyline,,,1.0698,,,19,
4687,414.9,polyline,,,2.3268,,,21,
3003,414.9,polyline,,,1.5499,,,21,
2328,412.93,polyline,,,1.1775,,,18,
2425,409.58,polyline,,,1.0685,,,17,
1285,408.19,polyline,,,1.1291,,,19,
3390,408.19,cc_longest,180.0,1.1124,1.3366,3.784,166.9,20,"295,68;287,85"
1576,408.19,cc_longest,180.0,1.2936,1.6105,4.382,111.6,20,"141,200;135,185"
5065,403.45,polyline,,,1.4172,,,20,
2748,403.45,polyline,,,1.4101,,,20,
5546,392.01,polyline,,,1.0814,,,19,
206,388.66,polyline,,,5.3931,,,23,
5170,385.31,cc_longest,180.0,1.3152,1.8019,8.401,165.0,22,"465,473;450,473"
2860,381.96,polyline,,,1.5875,,,16,
2660,372.48,cc_longest,180.0,1.2686,1.4007,2.407,137.5,19,"229,251;228,266"
2538,372.48,polyline,,,1.2451,,,18,
32,364.39,polyline,,,1.3164,,,19,
5237,364.39,polyline,,,3.2152,,,0,
63,362.43,polyline,,,0.9983,,,0,
484,357.69,polyline,,,3.5188,,,0,
1811,354.34,polyline,,,1.2832,,,15,
957,354.34,polyline,,,2.8177,,,15,
4977,352.95,polyline,,,1.8283,,,17,
4366,352.95,polyline,,,1.495,,,17,
4824,349.6,polyline,,,1.2915,,,16,
2811,346.25,polyline,,,1.1769,,,15,
556,338.16,cc_longest,180.0,1.2182,1.1576,2.142,157.6,16,"59,212;48,221"
1037,336.77,cc_longest,180.0,1.0592,1.7517,2.619,166.8,20,"103,325;87,322"
2090,333.42,polyline,,,3.4812,,,0,
3722,333.42,polyline,,,1.8469,,,16,
5322,330.07,cc_longest,180.0,1.3,1.4196,2.883,112.7,21,"465,116;465,129"
1360,328.68,polyline,,,2.0392,,,17,
151,325.33,polyline,,,1.7343,,,17,
1796,325.33,polyline,,,1.4969,,,16,
4265,313.89,polyline,,,1.1513,,,15,
2744,310.54,polyline,,,1.2067,,,14,
2531,305.8,polyline,,,1.6647,,,15,
3213,301.06,polyline,,,1.3909,,,16,
1707,299.1,polyline,,,0.9566,,,0,
4384,299.1,polyline,,,1.2815,,,0,
3681,297.71,polyline,,,1.6105,,,15,
4561,294.36,polyline,,,0.7616,,,14,
3175,294.36,polyline,,,1.035,,,0,
3170,291.01,polyline,,,1.2091,,,13,
3313,287.65,polyline,,,1.5832,,,12,
2102,287.65,cc_longest,180.0,1.0414,1.0742,2.103,165.0,13,"189,217;179,207"
1988,282.92,polyline,,,1.7664,,,13,
1833,282.92,polyline,,,2.3591,,,18,
1416,279.56,polyline,,,0.8251,,,12,
4332,279.56,polyline,,,4.5736,,,0,
2882,274.83,polyline,,,1.9927,,,13,
347,271.47,cc_longest,180.0,1.092,3.5765,9.106,156.0,16,"42,97;33,88"
5451,268.12,polyline,,,1.9212,,,11,
2568,266.74,polyline,,,1.2475,,,13,
184,266.74,cc_longest,180.0,1.1711,2.8041,6.143,130.9,18,"27,122;17,128"
1399,263.38,polyline,,,2.011,,,12,
800,263.38,polyline,,,2.134,,,12,
1283,262.0,polyline,,,1.8883,,,14,
230,258.65,polyline,,,1.1393,,,14,
2491,258.65,polyline,,,1.5034,,,13,
1838,258.65,polyline,,,3.5113,,,18,
2924,255.29,polyline,,,1.6144,,,12,
5111,255.29,cc_longest,180.0,1.3071,1.2907,2.786,121.8,13,"445,331;445,321"
38,247.2,polyline,,,1.6865,,,0,
5732,247.2,polyline,,,1.3405,,,12,
1262,242.47,cc_longest,180.0,1.0309,1.3217,2.249,171.7,18,"119,324;107,325"
4500,239.11,polyline,,,1.8011,,,12,
5319,235.76,polyline,,,1.2396,,,11,
2131,235.76,polyline,,,0.9979,,,11,
4183,235.76,polyline,,,1.1593,,,11,
5240,231.02,polyline,,,1.2609,,,13,
4349,231.02,polyline,,,5.5853,,,0,
3123,231.02,polyline,,,1.2266,,,12,
20,227.67,polyline,,,1.6217,,,11,
4137,227.67,polyline,,,1.1968,,,16,
14,224.32,polyline,,,1.247,,,10,
3709,224.32,polyline,,,1.4403,,,10,
5182,224.32,polyline,,,0.8871,,,10,
371,216.23,polyline,,,1.1276,,,10,
5370,216.23,polyline,,,1.4778,,,0,
6,216.23,cc_longest,180.0,1.1071,1.9155,2.711,157.2,11,"8,114;0,108"
1286,214.84,polyline,,,1.2263,,,12,
2976,212.88,polyline,,,1.8477,,,9,
5741,208.14,cc_longest,180.0,1.1559,1.8615,5.836,124.2,12,"504,64;510,57"
1163,208.14,polyline,,,0.7721,,,10,
668,208.14,cc_longest,180.0,1.1559,2.257,6.498,123.5,13,"65,467;56,469"
3966,204.79,polyline,,,1.1025,,,9,
1436,200.05,cc_longest,180.0,1.0797,3.534,5.51,163.9,14,"131,316;122,319"
5511,200.05,polyline,,,5.4643,,,10,
2002,200.05,polyline,,,1.4469,,,10,
830,200.05,polyline,,,1.3372,,,10,
290,200.05,polyline,,,3.2462,,,10,
3943,191.96,polyline,,,1.2965,,,10,
2869,191.96,polyline,,,1.4385,,,10,
5250,191.96,polyline,,,1.4084,,,10,
5133,191.96,polyline,,,1.2737,,,0,
3615,191.96,cc_longest,180.0,1.1503,1.6526,2.62,135.0,10,"313,130;305,127"
4129,188.61,cc_longest,180.0,1.0797,1.638,2.326,166.4,9,"363,419;355,423"
1882,185.26,polyline,,,1.0493,,,8,
