cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
4148,133.37,cc_longest,180.0,1.0797,1.8353,2.415,180.0,8,"434,271;440,269"
2002,133.37,polyline,,,1.1846,,,0,
1152,133.37,polyline,,,1.1964,,,7,
3163,133.37,cc_longest,180.0,1.0797,2.1129,2.626,151.8,7,"331,416;329,410"
4790,133.37,polyline,,,0.5998,,,7,
8,133.37,polyline,,,1.3401,,,7,
1749,133.37,polyline,,,1.4463,,,0,
1513,133.37,polyline,,,1.131,,,7,
1404,133.37,cc_longest,180.0,1.0797,1.6344,4.366,180.0,7,"139,350;133,352"
119,133.37,polyline,,,1.2488,,,7,
3518,133.37,polyline,,,1.9942,,,8,
2443,133.37,polyline,,,1.175,,,7,
3342,133.37,polyline,,,1.1354,,,7,
2583,133.37,polyline,,,0.6569,,,0,
1993,130.02,polyline,,,1.2872,,,8,
192,130.02,cc_longest,180.0,1.2361,2.0672,6.743,151.8,6,"16,381;14,386"
1269,130.02,polyline,,,1.3773,,,6,
1427,130.02,cc_longest,180.0,1.0396,1.6017,2.98,163.2,6,"140,446;136,441"
1295,130.02,cc_longest,180.0,1.3314,1.6307,2.521,106.8,6,"127,312;122,312"
1134,130.02,cc_longest,180.0,1.2361,2.0305,5.477,135.0,6,"108,463;103,461"
1052,130.02,polyline,,,1.3584,,,0,
2685,130.02,polyline,,,0.813,,,0,
1220,130.02,polyline,,,0.9068,,,6,
1629,125.28,polyline,,,1.1734,,,9,
4369,125.28,polyline,,,0.772,,,7,
1594,125.28,cc_longest,180.0,1.0545,1.8056,2.389,151.8,7,"161,100;155,99"
3614,125.28,polyline,,,1.1797,,,7,
3700,125.28,cc_longest,180.0,1.0545,1.5672,4.61,180.0,7,"387,372;386,366"
3284,125.28,cc_longest,180.0,1.0545,1.595,2.439,151.8,7,"347,432;341,433"
1497,125.28,polyline,,,1.1,,,7,
4758,125.28,polyline,,,1.1295,,,7,
22,125.28,cc_longest,180.0,1.0545,3.2144,7.093,151.8,7,"7,164;1,163"
2716,125.28,polyline,,,1.4332,,,7,
3890,121.93,polyline,,,1.7181,,,10,
1864,121.93,polyline,,,0.7088,,,12,
1281,121.93,polyline,,,1.2119,,,6,
1347,121.93,cc_longest,180.0,1.1036,2.4844,7.649,146.3,6,"131,367;127,363"
4588,121.93,polyline,,,0.8731,,,6,
4755,121.93,polyline,,,0.9429,,,0,
2935,121.93,polyline,,,0.6832,,,6,
1001,121.93,polyline,,,0.8477,,,6,
3156,121.93,polyline,,,0.5894,,,0,
20,121.93,cc_longest,180.0,1.0706,2.1036,2.771,180.0,6,"4,55;1,50"
2722,121.93,polyline,,,0.8103,,,6,
4141,121.93,polyline,,,1.2793,,,6,
2113,121.93,polyline,,,1.0966,,,6,
3590,121.93,polyline,,,0.716,,,6,
2324,121.93,cc_longest,180.0,1.2243,1.9542,5.362,123.7,6,"231,496;230,491"
3668,121.93,polyline,,,1.4156,,,6,
4535,121.93,polyline,,,1.2549,,,6,
880,117.19,polyline,,,1.3027,,,7,
4545,117.19,polyline,,,0.7821,,,7,
322,117.19,cc_longest,180.0,1.0,0.8481,1.111,180.0,8,"26,35;26,29"
732,117.19,polyline,,,1.237,,,7,
1126,117.19,polyline,,,0.8676,,,7,
2605,113.84,cc_longest,180.0,1.1657,1.0148,1.634,146.3,7,"263,414;266,410"
1222,113.84,polyline,,,1.0807,,,8,
