cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
49,2330.01,cc_longest,139.56,1.188,2.9095,9.77,138.8,205,"73,66;1,136"
5640,2282.28,cc_longest,151.75,1.1524,2.5799,5.726,167.1,178,"464,390;383,329"
38,2162.89,cc_longest,165.74,1.1463,2.3415,6.345,161.0,191,"21,388;63,475"
3333,1937.76,cc_longest,157.1,1.0717,3.2368,9.528,164.0,183,"303,186;212,169"
4412,1397.01,cc_longest,156.25,1.147,2.253,4.977,146.5,82,"345,159;285,176"
4334,1315.53,cc_longest,168.39,1.0993,2.0138,4.518,158.6,78,"334,244;279,271"
3278,1310.22,cc_longest,163.5,1.0904,2.4756,5.488,163.9,106,"251,248;207,291"
1645,1207.01,cc_longest,161.05,1.1845,2.3119,5.477,143.8,79,"103,168;114,117"
5603,1114.09,cc_longest,149.17,1.1489,2.487,4.576,179.4,74,"422,208;375,192"
3721,1112.13,cc_longest,153.11,1.1469,1.9249,3.909,134.5,63,"283,37;239,14"
1909,1112.13,cc_longest,166.89,1.3988,1.6708,5.368,25.3,70,"135,466;116,430"
7019,1064.98,cc_longest,159.88,1.1168,2.1685,4.145,147.4,64,"504,243;476,283"
135,1019.21,cc_longest,124.99,1.0811,2.4695,8.821,172.1,49,"44,346;7,377"
1491,985.47,cc_longest,155.22,1.2626,1.6419,4.798,172.0,56,"124,508;90,487"
5420,980.73,cc_longest,144.16,1.1181,2.3859,4.785,161.6,98,"406,489;362,498"
4475,973.21,cc_longest,177.14,1.0161,4.0415,7.879,174.3,66,"339,150;290,152"
5043,965.93,cc_longest,157.69,1.3977,3.2527,6.223,159.5,115,"358,146;334,120"
3393,949.75,polyline,,,3.0907,,,0,
2483,907.34,cc_longest,152.22,1.1669,2.0465,3.867,139.5,48,"189,451;153,468"
981,889.2,cc_longest,178.15,1.2146,2.3367,5.074,179.6,64,"86,94;60,121"
2381,854.06,polyline,,,2.0481,,,43,
5549,824.48,cc_longest,167.47,1.1029,2.6419,6.433,157.2,54,"407,163;371,176"
6934,823.09,cc_longest,138.95,1.231,1.9458,5.866,127.9,51,"509,239;475,243"
44,798.24,cc_longest,154.47,1.2518,2.3036,6.66,158.4,46,"29,476;0,491"
4571,773.97,cc_longest,173.38,1.1794,1.7433,4.022,156.9,42,"317,320;297,293"
5065,772.01,polyline,,,1.5723,,,0,
5966,769.23,polyline,,,1.7436,,,40,
2257,762.53,polyline,,,1.7828,,,41,
5917,747.74,polyline,,,2.6636,,,31,
7188,722.08,cc_longest,167.56,1.2337,1.6486,4.394,170.4,37,"488,175;501,202"
621,720.12,polyline,,,1.6214,,,37,
4698,715.38,cc_longest,149.86,1.3924,2.4882,8.406,124.0,34,"333,444;307,448"
2807,707.29,cc_longest,138.91,1.2011,1.6654,4.312,168.5,58,"203,393;173,390"
5981,679.67,cc_longest,138.18,1.3257,1.8146,2.846,148.2,39,"408,454;400,479"
897,679.67,cc_longest,179.09,1.1832,2.0212,3.725,169.9,33,"63,217;54,245"
142,678.28,polyline,,,2.7254,,,51,
5050,660.14,polyline,,,1.7334,,,29,
4801,643.96,cc_longest,178.64,1.2932,1.8592,5.39,172.6,40,"339,17;316,6"
101,631.13,polyline,,,2.0216,,,54,
2648,616.33,cc_longest,127.66,1.353,2.1147,4.392,169.6,32,"184,337;164,349"
7190,608.24,cc_longest,139.13,1.3858,1.6199,3.733,113.6,37,"509,281;488,273"
5522,604.89,cc_longest,137.34,1.2378,2.7313,9.832,175.6,48,"379,414;380,439"
6680,602.12,polyline,,,2.4135,,,39,
4154,601.54,cc_longest,157.87,1.2648,1.5655,3.468,117.9,37,"290,496;267,488"
3168,601.54,cc_longest,120.07,1.2399,2.1902,6.833,136.0,50,"202,287;218,268"
5924,600.15,polyline,,,1.799,,,0,
4790,583.97,polyline,,,1.8333,,,43,
6630,572.53,cc_longest,162.01,1.1241,2.8652,5.259,153.6,48,"472,64;446,62"
3057,556.35,polyline,,,2.8568,,,35,
3859,554.39,polyline,,,1.748,,,45,
7209,531.51,polyline,,,1.6706,,,22,
2204,517.29,polyline,,,1.6578,,,39,
2757,515.33,cc_longest,148.57,1.2018,2.6328,4.74,172.0,30,"189,474;170,485"
6229,510.59,polyline,,,1.4928,,,38,
680,505.85,polyline,,,1.0994,,,63,
6504,502.5,polyline,,,1.7884,,,0,
5127,491.06,cc_longest,131.19,1.1464,1.7432,4.17,165.8,35,"360,77;344,92"
7055,471.53,polyline,,,1.4231,,,39,
1117,470.14,polyline,,,1.7679,,,0,
181,470.14,cc_longest,127.57,1.3606,1.8234,3.95,107.6,26,"24,291;11,279"
4461,468.18,cc_longest,180.0,1.1164,1.9672,3.682,175.5,21,"308,333;289,323"
52,466.79,cc_longest,160.71,1.0797,2.3077,4.473,169.0,29,"22,346;1,339"
6632,466.79,polyline,,,2.0604,,,0,
1386,462.05,polyline,,,1.6741,,,28,
6869,447.26,polyline,,,1.5177,,,38,
1394,443.9,cc_longest,180.0,1.2826,1.6761,4.933,124.3,21,"102,234;85,229"
6531,443.9,cc_longest,180.0,1.3393,1.5354,3.593,124.1,39,"453,39;441,27"
3569,435.81,cc_longest,180.0,1.1616,1.7112,3.107,138.7,27,"240,24;228,9"
4595,432.46,polyline,,,1.8845,,,19,
7109,427.72,cc_longest,180.0,1.2166,1.804,4.031,132.0,23,"487,305;487,287"
3297,427.72,polyline,,,2.3415,,,25,
4733,426.34,polyline,,,2.7338,,,61,
1229,424.37,cc_longest,180.0,1.3248,1.8747,4.571,112.7,36,"85,458;75,445"
4523,416.28,cc_longest,180.0,1.3993,1.4566,3.719,135.6,20,"303,92;297,106"
2272,412.93,cc_longest,180.0,1.2437,1.5487,2.713,119.6,20,"145,222;145,205"
3567,408.19,polyline,,,1.4546,,,28,
6097,406.81,cc_longest,180.0,1.0363,2.9806,5.154,175.8,22,"429,15;409,13"
5747,404.84,polyline,,,2.3643,,,18,
2796,404.84,polyline,,,1.5168,,,18,
6921,396.75,cc_longest,180.0,1.1409,2.9122,4.094,161.2,26,"479,124;468,138"
1935,396.75,polyline,,,1.4956,,,18,
5170,396.75,polyline,,,1.6925,,,18,
6618,396.75,polyline,,,3.7325,,,22,
1459,385.31,cc_longest,180.0,1.2119,2.1457,5.435,150.6,20,"93,103;96,119"
1236,385.31,polyline,,,1.3468,,,28,
6321,385.31,polyline,,,1.6898,,,21,
2118,383.92,polyline,,,1.2916,,,22,
4342,380.57,cc_longest,180.0,1.1157,1.3701,2.555,161.9,32,"297,60;280,56"
392,377.22,cc_longest,180.0,1.1978,1.343,2.809,162.6,22,"22,264;36,256"
