cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
1296,3009.1,cc_longest,126.55,1.148,1.9629,6.142,150.1,203,"198,280;91,361"
1445,2146.14,cc_longest,162.88,1.1358,2.127,6.533,143.1,120,"184,140;100,188"
3056,1965.62,cc_longest,133.26,1.1129,2.3525,6.21,152.5,101,"298,136;222,87"
2927,1719.8,cc_longest,145.77,1.1929,2.0545,4.376,146.7,104,"254,224;211,164"
5268,1715.06,cc_longest,165.42,1.1148,1.627,3.452,178.4,121,"455,147;412,213"
2571,1702.23,cc_longest,128.62,1.2093,1.983,3.964,150.6,145,"226,427;191,364"
3009,1663.75,polyline,,,1.3949,,,91,
4195,1617.41,cc_longest,159.03,1.0925,2.0865,4.234,152.9,86,"376,49;315,94"
4213,1611.85,cc_longest,140.52,1.1533,1.687,4.248,177.7,84,"348,402;316,338"
932,1569.44,cc_longest,142.98,1.1269,2.1013,4.605,152.3,82,"93,303;66,237"
3329,1330.33,polyline,,,2.043,,,96,
4398,1306.06,cc_longest,154.77,1.1319,1.758,3.587,139.4,78,"392,419;333,416"
214,1294.61,cc_longest,176.25,1.1955,2.0703,4.511,179.7,89,"73,428;18,435"
4917,1275.08,polyline,,,1.4246,,,69,
4668,1268.96,polyline,,,2.3752,,,70,
1909,1221.23,polyline,,,2.2334,,,77,
3076,1193.61,cc_longest,171.42,1.1368,2.0003,5.987,166.2,81,"240,459;223,408"
3518,1186.91,polyline,,,1.9014,,,71,
452,1157.9,polyline,,,1.9492,,,57,
6013,1129.7,cc_longest,165.96,1.0748,1.7017,4.315,174.0,50,"510,235;470,271"
2419,1110.17,cc_longest,161.57,1.1964,1.4,2.751,164.8,59,"201,220;170,256"
1738,1086.47,polyline,,,2.2838,,,0,
2911,1084.51,cc_longest,136.41,1.3202,1.715,3.115,112.6,73,"223,70;210,30"
39,1037.93,cc_longest,153.43,1.1147,2.159,6.547,139.5,58,"48,486;1,478"
3124,1029.27,cc_longest,163.57,1.1769,2.5572,9.082,173.8,58,"270,63;229,45"
658,1027.3,cc_longest,168.02,1.069,2.2395,5.05,168.6,65,"75,361;45,322"
5594,994.94,cc_longest,130.03,1.3708,1.3518,3.755,106.9,53,"450,389;435,423"
635,992.17,cc_longest,174.61,1.0908,1.8551,3.816,178.7,64,"89,155;44,167"
3208,982.11,cc_longest,157.75,1.1261,1.753,3.843,148.5,51,"262,438;237,401"
137,955.88,polyline,,,2.1669,,,59,
4546,899.25,cc_longest,155.22,1.3697,1.6625,3.701,159.7,60,"381,186;352,203"
2520,891.16,cc_longest,146.24,1.1319,1.5885,3.068,147.0,44,"195,7;179,44"
3630,889.77,cc_longest,156.25,1.1242,1.6544,3.56,164.9,43,"281,254;270,215"
731,879.72,polyline,,,1.8297,,,0,
4597,858.8,cc_longest,147.51,1.1472,1.8418,3.776,136.2,45,"388,241;350,236"
1462,858.23,cc_longest,167.96,1.0714,2.0525,3.735,175.4,52,"129,439;100,410"
5314,849.32,polyline,,,2.249,,,48,
3118,832.57,polyline,,,1.7406,,,42,
1540,823.09,polyline,,,1.8273,,,52,
4469,817.77,polyline,,,1.6648,,,58,
3752,813.04,cc_longest,134.48,1.278,1.2481,2.434,154.3,57,"288,31;298,0"
6053,808.3,polyline,,,1.1084,,,37,
5161,808.3,polyline,,,1.8115,,,37,
2322,804.95,polyline,,,1.5855,,,36,
5590,801.59,cc_longest,141.39,1.1558,1.7047,4.396,129.6,98,"444,238;474,257"
5927,796.86,cc_longest,133.67,1.2273,1.7198,5.859,117.1,61,"486,24;463,48"
5281,784.03,polyline,,,2.138,,,37,
3,780.68,polyline,,,1.4462,,,93,
1901,777.32,cc_longest,160.09,1.2022,2.108,3.371,166.5,43,"160,295;130,309"
4930,726.82,cc_longest,125.06,1.3773,1.3343,3.263,102.0,36,"390,115;389,142"
2448,709.25,cc_longest,137.65,1.2262,1.4607,2.798,128.1,51,"202,111;173,117"
6095,705.9,polyline,,,1.8069,,,60,
51,702.55,polyline,,,1.6097,,,32,
5076,701.16,polyline,,,1.5816,,,0,
3787,689.72,polyline,,,1.4216,,,33,
18,686.37,polyline,,,1.6205,,,76,
4503,684.98,polyline,,,1.7947,,,35,
5578,676.32,polyline,,,1.6649,,,37,
1722,671.58,polyline,,,1.5786,,,34,
4829,670.19,cc_longest,150.71,1.1918,1.5667,3.0,167.9,34,"380,258;370,285"
3805,668.23,cc_longest,126.16,1.177,1.8978,4.8,133.5,37,"306,238;293,212"
6047,664.88,cc_longest,162.77,1.2021,1.1503,2.838,155.2,38,"495,41;474,60"
1999,662.1,polyline,,,2.7169,,,0,
3057,640.61,cc_longest,174.81,1.131,2.2025,3.89,157.9,36,"243,110;222,130"
6016,627.78,polyline,,,1.5535,,,0,
1880,627.78,polyline,,,1.5326,,,29,
1565,626.39,polyline,,,1.9382,,,33,
3357,617.72,polyline,,,1.1086,,,40,
3988,616.33,polyline,,,1.5018,,,37,
3383,616.33,cc_longest,164.48,1.2377,1.3901,2.791,170.8,34,"277,144;252,149"
6331,608.24,polyline,,,1.281,,,30,
5650,601.54,polyline,,,1.4218,,,26,
1797,593.45,polyline,,,2.7127,,,0,
4936,590.1,polyline,,,1.4948,,,0,
4764,585.36,cc_longest,142.13,1.1131,1.9526,4.848,137.7,54,"395,341;372,355"
5543,583.97,cc_longest,132.34,1.1875,1.5444,2.407,173.0,39,"431,119;434,94"
606,580.62,cc_longest,175.6,1.1041,1.526,3.203,164.6,33,"42,1;52,26"
3506,572.53,polyline,,,1.3374,,,27,
4722,572.53,cc_longest,164.53,1.1716,1.7033,6.675,166.5,40,"367,149;366,174"
514,569.18,polyline,,,2.0724,,,26,
1375,565.83,polyline,,,1.5094,,,34,
3565,562.48,cc_longest,168.69,1.1004,1.2125,2.164,161.3,26,"285,54;266,72"
5891,562.48,polyline,,,1.0698,,,0,
3178,559.7,polyline,,,1.5565,,,28,
4753,559.13,cc_longest,154.65,1.253,1.5029,2.157,119.8,28,"384,378;363,369"
4333,559.13,polyline,,,1.8356,,,23,
5587,556.35,polyline,,,1.9743,,,28,
1501,542.95,cc_longest,166.76,1.0854,2.5122,4.895,164.0,27,"123,30;103,14"
5628,540.17,polyline,,,2.2953,,,0,
5520,536.82,polyline,,,1.3855,,,26,
5748,534.86,cc_longest,161.57,1.173,1.8608,3.695,179.7,33,"466,350;450,333"
2853,530.12,cc_longest,147.09,1.1891,1.1908,1.975,162.2,25,"225,248;205,237"
5418,530.12,polyline,,,1.4501,,,24,
3894,525.38,polyline,,,1.4303,,,0,
5665,525.38,cc_longest,177.34,1.076,1.4631,3.283,172.5,27,"466,100;442,93"
3593,520.07,cc_longest,180.0,1.0444,1.4531,3.479,170.1,24,"286,396;267,413"
1983,518.68,cc_longest,143.13,1.098,1.8148,3.068,156.2,29,"157,239;136,227"
5982,517.29,cc_longest,127.87,1.1314,1.414,2.906,151.0,29,"474,441;466,463"
3951,517.29,polyline,,,1.3447,,,25,
2949,515.33,polyline,,,1.6895,,,0,
4492,502.5,polyline,,,1.3675,,,28,
3839,494.41,cc_longest,140.71,1.1321,2.1484,4.511,158.5,32,"309,408;287,404"
5194,484.36,polyline,,,1.9397,,,20,
767,482.97,cc_longest,149.74,1.1843,1.3417,2.602,131.2,27,"60,356;54,376"
2711,482.97,cc_longest,180.0,1.2489,1.7588,3.047,136.9,33,"208,145;194,131"
4265,479.62,polyline,,,1.2756,,,31,
1019,478.23,polyline,,,1.6033,,,26,
4617,476.27,polyline,,,2.1632,,,0,
2772,471.53,cc_longest,180.0,1.1208,1.8461,2.946,162.6,24,"208,421;200,401"
320,466.79,polyline,,,2.2141,,,36,
2925,458.7,polyline,,,1.7052,,,0,
3680,455.35,polyline,,,1.2601,,,0,
6200,455.35,cc_longest,180.0,1.1514,0.8672,1.402,145.9,26,"507,486;488,493"
4945,453.96,polyline,,,1.427,,,44,
3772,451.99,polyline,,,1.0886,,,0,
6094,450.61,polyline,,,1.3526,,,52,
8,443.9,polyline,,,1.2635,,,20,
2857,435.81,cc_longest,180.0,1.1616,1.6754,3.061,145.7,22,"217,496;205,511"
5779,431.08,polyline,,,1.5265,,,36,
958,427.72,polyline,,,1.168,,,23,
6134,427.72,polyline,,,1.5244,,,0,
5834,419.63,cc_longest,180.0,1.3726,1.0117,1.76,122.7,23,"456,1;470,8"
1991,414.9,cc_longest,180.0,1.3571,1.4053,3.223,118.5,28,"143,188;150,174"
5110,414.9,polyline,,,1.6181,,,21,
2510,412.93,polyline,,,1.2724,,,18,
1173,412.93,polyline,,,1.5912,,,35,
5952,411.54,polyline,,,1.3734,,,20,
2503,411.54,polyline,,,1.2348,,,20,
4916,401.49,polyline,,,1.4876,,,17,
3092,400.1,polyline,,,1.7093,,,0,
5394,400.1,polyline,,,0.9946,,,21,
5735,396.75,polyline,,,1.6706,,,18,
68,396.75,polyline,,,1.6383,,,18,
381,392.01,cc_longest,180.0,1.2929,1.6962,4.039,136.3,25,"42,342;27,346"
262,388.66,polyline,,,1.1971,,,18,
4306,388.66,cc_longest,180.0,1.1376,1.5121,2.892,158.0,25,"333,141;324,126"
4123,388.66,polyline,,,2.4968,,,0,
3086,388.66,polyline,,,1.3556,,,18,
944,373.87,cc_longest,180.0,1.0618,1.975,2.818,172.5,17,"77,152;67,137"
5150,372.48,polyline,,,1.5428,,,0,
4655,369.13,polyline,,,1.2794,,,17,
404,369.13,cc_longest,180.0,1.1356,1.4438,2.461,153.0,52,"46,200;32,191"
3210,364.39,polyline,,,1.433,,,18,
1230,361.04,polyline,,,1.3907,,,25,
4097,357.69,polyline,,,1.75,,,0,
1961,357.69,polyline,,,4.6243,,,0,
2425,352.95,polyline,,,1.5198,,,17,
954,352.95,polyline,,,1.5025,,,20,
541,349.6,cc_longest,180.0,1.2657,1.2476,2.602,122.7,46,"55,368;45,358"
2395,348.21,polyline,,,1.3672,,,22,
