cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
2842,2891.1,cc_longest,157.87,1.0924,2.5798,4.285,137.3,140,"380,176;319,297"
202,2399.47,cc_longest,156.61,1.1028,2.2826,4.85,123.7,118,"89,496;22,407"
1056,2108.46,cc_longest,146.98,1.086,2.6761,4.98,167.7,115,"189,174;109,115"
1308,1799.89,cc_longest,126.92,1.2764,2.017,4.678,108.1,97,"174,66;137,4"
663,1759.44,cc_longest,156.97,1.1468,3.6505,8.104,130.7,89,"136,263;69,222"
3166,1696.68,polyline,,,2.2943,,,88,
1468,1695.29,polyline,,,1.9546,,,114,
605,1660.39,polyline,,,2.8421,,,83,
2164,1552.69,polyline,,,2.7131,,,71,
35,1415.97,cc_longest,168.02,1.0801,2.4123,4.309,153.9,73,"40,83;3,27"
2607,1401.75,cc_longest,159.23,1.0823,2.7471,5.741,179.4,68,"350,218;289,192"
2689,1275.08,polyline,,,1.7704,,,59,
2037,1226.54,polyline,,,3.1277,,,58,
3208,1217.06,polyline,,,1.5804,,,60,
3,1173.26,polyline,,,5.514,,,0,
2063,1157.9,cc_longest,171.03,1.0822,3.2897,5.763,179.7,56,"273,275;222,295"
3519,1052.15,polyline,,,4.7604,,,52,
3669,982.11,polyline,,,1.7228,,,56,
852,939.7,polyline,,,1.869,,,40,
1250,938.89,polyline,,,1.3246,,,54,
1649,935.54,polyline,,,1.513,,,47,
3692,913.47,polyline,,,3.756,,,65,
2199,910.69,cc_longest,131.75,1.2203,1.3803,3.009,135.1,48,"269,104;241,78"
3404,905.38,polyline,,,2.5361,,,45,
2836,897.86,cc_longest,150.06,1.1005,1.8967,4.29,150.7,52,"359,396;318,404"
3769,889.2,polyline,,,2.1649,,,53,
1908,886.42,polyline,,,2.1961,,,43,
3893,865.5,polyline,,,1.8993,,,48,
1616,862.15,polyline,,,1.3342,,,50,
375,819.74,polyline,,,1.2653,,,45,
2909,810.26,polyline,,,1.0017,,,40,
2990,806.33,cc_longest,175.28,1.0699,3.0461,5.169,176.1,35,"357,278;337,311"
2665,798.24,polyline,,,1.225,,,34,
1072,788.77,polyline,,,1.8474,,,0,
2531,786.8,polyline,,,1.4725,,,33,
2234,782.06,cc_longest,145.84,1.1245,1.2973,1.915,145.2,41,"267,186;245,158"
