cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
1909,2911.45,cc_longest,141.34,1.2023,2.7322,7.752,91.4,325,"217,426;135,333"
1681,2567.16,cc_longest,161.24,1.1787,2.277,5.571,155.0,240,"193,165;96,110"
1045,2358.21,cc_longest,142.77,1.1952,2.0865,8.203,116.3,233,"159,32;58,30"
2975,1951.4,cc_longest,123.11,1.1167,2.3572,6.288,173.8,133,"200,59;162,140"
1146,1903.67,cc_longest,153.43,1.2358,2.4328,6.149,24.1,208,"124,297;63,347"
1253,1869.92,cc_longest,136.96,1.1821,1.5749,4.655,134.2,162,"109,64;81,140"
625,1500.79,cc_longest,163.97,1.1494,2.2036,8.247,158.3,183,"73,153;35,208"
5477,1376.9,cc_longest,168.69,1.0903,2.9923,5.675,176.7,119,"329,240;279,281"
168,1371.35,cc_longest,148.08,1.1207,1.7864,5.457,143.1,164,"71,407;9,416"
7897,1243.54,cc_longest,137.66,1.2671,1.4564,3.839,149.8,80,"421,354;395,397"
9560,1220.65,cc_longest,173.17,1.3155,2.4484,6.051,18.9,86,"502,301;466,270"
6565,1190.26,cc_longest,144.04,1.3529,1.4782,3.544,123.4,119,"336,302;334,347"
9009,1147.84,cc_longest,159.23,1.1122,1.7729,6.236,180.0,78,"487,440;441,414"
4443,1133.63,cc_longest,157.38,1.1326,2.0701,4.879,141.1,100,"252,239;257,188"
6121,1113.52,cc_longest,132.74,1.2078,1.7431,3.42,170.4,70,"337,61;309,99"
1756,1112.13,polyline,,,1.5804,,,70,
9978,1081.16,cc_longest,164.74,1.19,1.7377,4.225,176.0,64,"507,204;487,246"
526,1069.72,cc_longest,146.94,1.3718,1.4669,4.192,114.6,78,"49,114;34,77"
1863,1031.23,cc_longest,128.88,1.1972,2.5249,6.022,169.6,89,"150,206;106,203"
5384,1027.88,cc_longest,164.43,1.143,1.5029,3.309,163.7,75,"321,177;275,175"
313,1006.38,cc_longest,155.78,1.2251,1.5959,4.445,144.2,82,"55,37;18,17"
7993,977.38,polyline,,,2.2173,,,125,
1000,963.16,cc_longest,170.54,1.071,2.2269,5.294,179.0,90,"101,489;55,487"
5081,955.88,cc_longest,143.22,1.3189,1.317,3.682,111.9,82,"275,408;284,444"
