cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
1153,2768.6,cc_longest,140.51,1.1369,1.6593,4.874,170.1,132,"201,412;94,476"
2524,2742.37,cc_longest,161.68,1.0832,1.7525,7.998,151.4,155,"319,1;239,103"
2757,2720.63,cc_longest,132.94,1.1291,1.6324,3.637,135.4,170,"306,291;264,175"
1954,2718.67,cc_longest,135.43,1.1147,1.854,4.611,151.6,136,"246,145;180,39"
3808,2632.46,cc_longest,144.16,1.152,1.7536,3.771,101.4,154,"469,97;361,142"
2161,1922.97,cc_longest,138.01,1.1051,1.6378,2.829,135.8,125,"291,282;202,278"
236,1829.47,cc_longest,155.0,1.1508,1.5927,3.426,151.7,96,"99,6;19,21"
517,1479.06,polyline,,,1.9342,,,86,
1700,1473.17,cc_longest,135.0,1.1665,1.8123,3.563,136.6,69,"202,329;147,295"
1629,1401.75,cc_longest,150.42,1.1759,1.4122,2.795,170.6,85,"175,266;140,216"
3519,1360.72,cc_longest,148.52,1.2447,1.886,4.886,143.8,84,"374,416;332,453"
1045,1356.56,cc_longest,155.77,1.111,1.351,2.551,147.6,77,"145,273;83,265"
240,1318.31,cc_longest,163.2,1.184,1.0651,1.752,140.3,94,"54,327;19,282"
808,1298.78,cc_longest,156.61,1.1045,1.2791,2.709,155.7,114,"107,46;62,86"
4445,1297.39,cc_longest,161.57,1.0995,1.6808,2.961,173.7,87,"472,293;443,240"
12,1099.3,polyline,,,1.4338,,,0,
3576,1096.53,polyline,,,5.1629,,,0,
1095,1053.54,polyline,,,2.312,,,45,
4625,1045.45,cc_longest,169.7,1.0781,2.0549,4.111,179.2,49,"510,466;466,443"
579,975.99,polyline,,,2.1561,,,72,
4225,953.11,polyline,,,1.6967,,,44,
3602,939.7,cc_longest,165.9,1.1401,1.2431,3.046,150.6,49,"358,163;333,197"
4202,920.17,polyline,,,1.9203,,,39,
4669,902.6,polyline,,,2.4894,,,0,
3073,900.64,cc_longest,176.87,1.1039,1.1127,2.422,176.0,79,"314,114;286,145"
1315,883.07,polyline,,,1.5311,,,41,
3538,872.2,polyline,,,1.422,,,50,
4185,865.5,polyline,,,1.6538,,,0,
3930,858.8,cc_longest,170.33,1.1472,1.2591,2.611,177.2,49,"377,141;382,179"
1750,857.41,cc_longest,149.51,1.2823,1.4991,3.558,158.1,87,"186,322;152,326"
2287,848.75,polyline,,,2.1203,,,0,
2376,834.53,polyline,,,1.0719,,,40,
913,814.42,cc_longest,162.57,1.092,1.6793,4.207,165.9,36,"99,197;72,170"
1971,780.68,polyline,,,1.5257,,,0,
3928,769.23,cc_longest,174.73,1.1539,0.8887,1.954,170.6,77,"409,511;375,508"
3240,765.88,polyline,,,1.478,,,35,
535,764.49,polyline,,,1.2687,,,87,
3785,762.53,cc_longest,166.16,1.1191,1.7438,7.884,162.0,46,"373,58;357,27"
4749,760.57,polyline,,,1.5604,,,0,
17,753.05,cc_longest,165.78,1.2412,2.0485,7.692,178.3,37,"27,238;1,221"
688,718.73,cc_longest,134.69,1.1871,1.6154,3.342,134.3,40,"82,283;51,283"
4277,717.34,cc_longest,162.72,1.1125,1.2526,2.162,166.2,42,"424,225;423,258"
1918,715.38,cc_longest,135.69,1.176,1.2846,3.46,141.2,39,"198,201;175,222"
3373,710.64,polyline,,,1.5467,,,0,
1270,704.51,polyline,,,1.548,,,35,
3652,703.94,polyline,,,1.366,,,52,
1176,703.94,polyline,,,1.2085,,,55,
4162,699.2,polyline,,,2.5926,,,0,
2295,679.67,cc_longest,145.38,1.1368,1.0535,1.615,157.2,42,"235,367;216,391"
147,674.93,cc_longest,157.57,1.1033,1.1499,2.753,155.2,36,"20,363;11,393"
3471,673.54,polyline,,,1.2636,,,87,
3931,673.54,polyline,,,1.6705,,,37,
1711,664.88,polyline,,,2.3876,,,97,
4799,658.75,polyline,,,1.2856,,,49,
3181,648.7,cc_longest,136.42,1.1171,1.1661,1.99,164.8,40,"316,187;294,207"
1114,623.04,polyline,,,1.7134,,,37,
95,623.04,polyline,,,1.4745,,,36,
3917,606.86,polyline,,,1.1677,,,31,
855,606.28,polyline,,,1.2337,,,25,
750,600.15,polyline,,,1.7567,,,28,
930,600.15,polyline,,,2.0573,,,28,
1718,595.42,cc_longest,129.09,1.2165,1.2161,2.646,117.2,62,"154,22;166,0"
4426,572.53,polyline,,,1.3779,,,0,
4532,572.53,polyline,,,1.4417,,,27,
2266,549.65,polyline,,,1.0826,,,0,
1944,549.65,polyline,,,1.6563,,,25,
1376,548.26,polyline,,,1.7966,,,33,
4731,539.6,polyline,,,1.8576,,,22,
2439,532.08,polyline,,,1.9562,,,76,
4813,517.29,polyline,,,1.8587,,,25,
3894,513.94,polyline,,,1.7201,,,30,
2934,507.24,polyline,,,1.6836,,,27,
3245,499.15,polyline,,,1.0245,,,28,
2955,497.76,polyline,,,1.4315,,,40,
722,494.41,cc_longest,154.65,1.108,1.1568,2.077,164.6,28,"63,256;54,277"
3819,494.41,cc_longest,170.96,1.1436,1.35,3.449,145.5,26,"383,296;362,303"
33,491.06,cc_longest,120.07,1.1188,1.8965,3.685,150.0,30,"20,456;1,468"
4580,491.06,cc_longest,163.07,1.3696,1.5025,2.989,108.7,33,"469,386;460,370"
2096,489.67,polyline,,,1.3597,,,0,
3920,487.71,polyline,,,1.2674,,,25,
448,486.32,polyline,,,1.1879,,,0,
166,482.97,cc_longest,149.74,1.1843,1.4831,4.64,153.9,26,"33,90;13,84"
1311,478.23,polyline,,,0.9184,,,23,
3708,476.27,polyline,,,1.1186,,,20,
4300,474.88,polyline,,,1.2402,,,0,
3857,463.44,polyline,,,1.5156,,,21,
2877,463.44,polyline,,,1.2375,,,0,
3980,463.44,cc_longest,180.0,1.3162,0.9708,2.057,112.1,23,"384,213;401,219"
44,462.05,polyline,,,1.5297,,,23,
1536,458.7,polyline,,,1.5109,,,0,
3649,456.73,polyline,,,1.2492,,,20,
4344,451.99,cc_longest,180.0,1.2113,1.3897,2.117,133.8,21,"449,240;430,242"
283,443.9,cc_longest,180.0,1.1538,1.4003,2.465,133.1,29,"41,63;23,71"
1680,440.55,polyline,,,1.4945,,,19,
4321,440.55,polyline,,,0.9557,,,19,
1566,435.81,polyline,,,1.1155,,,20,
867,434.43,polyline,,,1.0125,,,26,
4516,429.11,polyline,,,1.1079,,,20,
4547,427.72,polyline,,,1.1551,,,32,
683,427.72,polyline,,,1.7375,,,38,
3905,424.37,cc_longest,180.0,1.119,2.0036,5.375,137.9,24,"389,11;373,0"
305,422.99,polyline,,,1.1054,,,33,
1770,421.02,polyline,,,1.7556,,,18,
3639,419.63,polyline,,,1.2694,,,20,
4273,417.67,polyline,,,1.3052,,,17,
4369,416.28,cc_longest,180.0,1.348,1.1501,2.224,106.1,20,"445,318;432,327"
3441,414.9,cc_longest,180.0,1.2496,1.2346,3.404,110.3,32,"318,485;326,470"
2828,408.19,polyline,,,1.0243,,,19,
2270,408.19,polyline,,,1.2255,,,27,
3393,404.84,cc_longest,180.0,1.1849,0.9249,1.522,162.3,31,"322,439;313,454"
2784,404.84,polyline,,,1.4048,,,18,
813,403.45,polyline,,,1.1919,,,30,
1266,396.75,polyline,,,1.6201,,,18,
4549,395.36,polyline,,,2.0678,,,20,
4362,395.36,polyline,,,1.3494,,,20,
4570,393.4,polyline,,,1.2393,,,17,
725,380.57,polyline,,,1.5213,,,26,
1889,373.87,cc_longest,180.0,1.2876,1.1354,1.716,111.9,17,"185,408;171,413"
4592,365.78,cc_longest,180.0,1.1845,1.3283,2.01,126.0,20,"468,11;463,26"
3276,364.39,polyline,,,0.8593,,,31,
4017,364.39,cc_longest,180.0,1.1548,1.4203,2.7,132.7,23,"405,249;390,243"
235,364.39,polyline,,,1.4072,,,34,
4684,362.43,polyline,,,0.9429,,,15,
1009,357.69,polyline,,,1.5825,,,16,
3071,356.3,cc_longest,180.0,1.0568,1.4137,2.34,180.0,19,"303,40;286,37"
4418,356.3,polyline,,,1.8462,,,18,
2829,354.34,cc_longest,180.0,1.2765,0.9981,1.778,143.7,18,"270,311;261,322"
1033,349.6,cc_longest,180.0,1.1701,1.0196,1.796,172.2,20,"97,22;82,25"
698,346.25,polyline,,,1.4493,,,15,
4241,346.25,polyline,,,1.8081,,,15,
3551,346.25,cc_longest,180.0,1.0652,1.347,2.01,175.0,19,"341,75;327,84"
368,341.51,polyline,,,1.7145,,,16,
2482,341.51,polyline,,,1.2019,,,16,
3795,336.77,polyline,,,1.1492,,,17,
2232,333.42,polyline,,,0.9167,,,22,
11,330.07,polyline,,,0.9317,,,0,
3899,328.68,polyline,,,1.0214,,,31,
4302,326.72,polyline,,,0.9473,,,14,
4361,325.33,polyline,,,1.8497,,,16,
1057,321.98,polyline,,,4.4134,,,0,
3627,321.98,polyline,,,1.095,,,17,
1469,318.63,polyline,,,3.115,,,14,
2843,318.63,polyline,,,2.0005,,,14,
1163,317.24,polyline,,,1.3627,,,16,
3681,313.89,polyline,,,1.1345,,,15,
2471,307.19,polyline,,,0.7614,,,0,
4528,307.19,polyline,,,1.6827,,,18,
4470,305.8,polyline,,,1.1374,,,15,
4743,302.45,polyline,,,1.0474,,,14,
712,302.45,polyline,,,1.1364,,,16,
1914,295.74,polyline,,,1.1676,,,12,
4396,294.36,polyline,,,0.7735,,,14,
263,286.27,polyline,,,1.2137,,,14,
35,286.27,polyline,,,1.6041,,,14,
4093,282.92,cc_longest,180.0,1.1311,0.8284,1.203,129.9,31,"399,226;409,218"
4758,278.18,cc_longest,180.0,1.1869,0.7684,1.128,169.8,22,"487,181;487,193"
4837,278.18,polyline,,,1.0302,,,14,
195,274.83,polyline,,,1.3669,,,0,
3529,274.83,polyline,,,0.7702,,,13,
1415,271.47,polyline,,,1.2228,,,12,
2476,271.47,polyline,,,1.3207,,,12,
1779,271.47,polyline,,,1.6804,,,12,
2806,270.09,polyline,,,1.4847,,,17,
3390,270.09,polyline,,,1.1084,,,25,
5008,270.09,polyline,,,1.4557,,,14,
4942,268.12,polyline,,,1.599,,,11,
2039,266.74,polyline,,,1.7056,,,13,
999,266.74,polyline,,,1.1997,,,13,
610,263.38,polyline,,,1.2325,,,18,
4585,263.38,polyline,,,1.0464,,,12,
4517,258.65,polyline,,,1.0017,,,0,
3640,258.65,polyline,,,1.4913,,,17,
1063,255.29,polyline,,,1.0068,,,12,
4754,255.29,polyline,,,0.8613,,,15,
30,255.29,polyline,,,1.801,,,12,
2407,251.94,polyline,,,1.0424,,,17,
4810,251.94,cc_longest,180.0,1.2835,0.9764,2.057,141.7,13,"492,479;491,489"
86,251.94,polyline,,,1.1293,,,11,
3034,251.94,polyline,,,1.1122,,,13,
2165,250.56,polyline,,,1.0499,,,22,
3632,247.2,polyline,,,0.9783,,,0,
2174,247.2,polyline,,,2.2751,,,12,
4332,243.85,polyline,,,0.8691,,,11,
29,242.47,polyline,,,1.1276,,,13,
1739,242.47,polyline,,,0.9763,,,13,
4316,239.11,polyline,,,1.4117,,,13,
2183,235.76,polyline,,,0.9509,,,11,
4002,235.76,polyline,,,1.7061,,,11,
3809,235.76,polyline,,,0.767,,,0,
3610,231.02,cc_longest,180.0,1.058,1.2002,1.608,171.7,15,"345,245;334,243"
4672,231.02,polyline,,,1.4641,,,54,
2958,227.67,polyline,,,1.0528,,,12,
2147,227.67,polyline,,,1.6777,,,20,
3761,227.67,polyline,,,1.1949,,,30,
816,224.32,polyline,,,0.9027,,,10,
3322,224.32,cc_longest,180.0,1.2174,0.9444,1.397,131.9,11,"315,307;307,302"
4443,222.93,polyline,,,0.8168,,,12,
1896,222.93,polyline,,,1.4073,,,17,
2728,219.58,polyline,,,1.6481,,,0,
3421,219.58,polyline,,,0.8528,,,11,
1865,219.58,polyline,,,0.9004,,,11,
1414,216.23,polyline,,,1.1008,,,10,
2528,216.23,polyline,,,1.149,,,14,
1778,211.49,polyline,,,1.0058,,,11,
2323,211.49,polyline,,,1.1503,,,11,
4500,208.14,polyline,,,1.1243,,,12,
179,208.14,polyline,,,0.811,,,0,
482,208.14,polyline,,,0.9076,,,10,
4930,208.14,polyline,,,1.6064,,,10,
3263,208.14,polyline,,,1.404,,,14,
2100,203.4,polyline,,,0.9339,,,11,
2184,203.4,polyline,,,1.2901,,,11,
4146,200.05,polyline,,,0.8493,,,0,
4939,200.05,polyline,,,1.2671,,,10,
1260,200.05,cc_longest,180.0,1.1311,1.3196,2.311,162.1,15,"105,379;106,370"
1826,200.05,polyline,,,1.575,,,17,
4674,200.05,polyline,,,0.8895,,,10,
3768,200.05,cc_longest,180.0,1.1452,0.9481,1.337,142.5,17,"358,126;354,118"
1956,200.05,polyline,,,1.0895,,,10,
2484,200.05,polyline,,,1.1919,,,10,
5,200.05,cc_longest,180.0,1.0797,1.0729,2.293,152.1,14,"1,35;10,38"
118,200.05,cc_longest,180.0,1.1311,1.0684,2.12,151.1,12,"9,479;18,480"
3283,200.05,polyline,,,1.0698,,,10,
3651,196.7,polyline,,,1.2722,,,13,
