L_nm,200,250,300,334,400,500
50,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
150,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
250,2.469326,1.000000,1.000000,1.000000,1.000000,1.000000
300,3.516063,2.239315,1.000000,1.000000,1.000000,1.000000
350,4.417119,3.115927,2.080744,1.451444,1.000000,1.000000
400,5.184883,3.893172,2.835825,2.228074,1.000000,1.000000
450,5.832831,4.580963,3.516063,2.895448,1.874794,1.000000
500,6.377072,5.184883,4.132123,3.504421,2.469326,1.000000
550,6.833820,5.712069,4.687269,4.061612,3.012177,1.745560
600,7.217834,6.170762,5.184883,4.569366,3.516063,2.239315
650,7.541827,6.569402,5.629190,5.030028,3.983933,2.691528
700,7.816415,6.916004,6.024949,5.446509,4.417119,3.115927
750,8.050312,7.217834,6.377072,5.822155,4.816914,3.516063
800,8.250609,7.481292,6.690342,6.160510,5.184883,3.893172
850,8.423057,7.711911,6.969235,6.465118,5.522856,4.247930
900,8.572315,7.914427,7.217834,6.739385,5.832831,4.580963
950,8.702172,8.092858,7.439802,6.986499,6.116880,4.892998
1000,8.815710,8.250609,7.638379,7.209384,6.377072,5.184883
